instance,profile,run,iteration,total_iterations,cost,k,optimal_cost,optimal_k,elapsed,routes
A-n45-k7,NN,3,529,7955,1689.908348505885,7,1146.0,7,6.589266538619995,"[[0, 38, 42, 15, 25, 23, 17, 6, 0], [0, 28, 3, 11, 4, 2, 24, 21, 0], [0, 14, 33, 19, 41, 43, 30, 0], [0, 18, 39, 9, 16, 20, 40, 26, 0], [0, 32, 8, 7, 13, 5, 31, 1, 37, 0], [0, 22, 10, 36, 29, 0], [0, 12, 35, 44, 27, 34, 0]]"
A-n45-k7,NN,3,797,7955,1688.137853526375,7,1146.0,7,9.865678310394287,"[[0, 44, 24, 6, 28, 2, 12, 13, 0], [0, 35, 32, 25, 15, 42, 23, 0], [0, 34, 26, 22, 33, 8, 0], [0, 5, 3, 31, 36, 14, 29, 0], [0, 38, 17, 1, 37, 43, 11, 0], [0, 39, 9, 4, 21, 7, 20, 16, 18, 0], [0, 40, 10, 30, 27, 41, 19, 0]]"
A-n45-k7,NN,3,840,7955,1625.6774262474316,7,1146.0,7,10.395800828933716,"[[0, 26, 39, 32, 35, 14, 5, 8, 9, 0], [0, 13, 19, 30, 22, 24, 0], [0, 21, 3, 11, 44, 31, 36, 0], [0, 40, 18, 7, 20, 38, 10, 25, 42, 16, 0], [0, 34, 4, 2, 28, 43, 41, 0], [0, 33, 29, 37, 1, 15, 0], [0, 12, 6, 27, 23, 17, 0]]"
A-n45-k7,NN,3,3929,7955,1623.2293279127302,7,1146.0,7,47.96557688713074,"[[0, 28, 43, 27, 41, 29, 0], [0, 13, 34, 26, 2, 15, 1, 37, 0], [0, 18, 35, 11, 44, 8, 9, 0], [0, 4, 6, 33, 5, 22, 0], [0, 31, 36, 30, 19, 17, 0], [0, 23, 42, 10, 25, 20, 38, 16, 7, 40, 0], [0, 32, 39, 21, 3, 14, 24, 12, 0]]"
A-n45-k7,NN,3,4449,7955,1622.861461560289,7,1146.0,7,54.097137689590454,"[[0, 20, 42, 23, 25, 15, 10, 0], [0, 26, 34, 39, 18, 7, 32, 35, 0], [0, 6, 28, 19, 11, 43, 3, 0], [0, 12, 40, 16, 38, 13, 44, 24, 0], [0, 4, 29, 27, 17, 0], [0, 2, 21, 8, 9, 33, 14, 5, 22, 0], [0, 36, 31, 37, 1, 30, 41, 0]]"
A-n45-k7,NN,4,0,7955,1924.428888544474,7,1146.0,7,0.016040325164794922,"[[0, 33, 44, 35, 32, 0], [0, 6, 14, 41, 43, 28, 18, 17, 0], [0, 12, 42, 11, 19, 5, 30, 0], [0, 13, 2, 4, 34, 21, 9, 39, 3, 0], [0, 25, 15, 29, 22, 7, 40, 0], [0, 38, 20, 8, 16, 23, 36, 31, 27, 0], [0, 26, 24, 10, 1, 37, 0]]"
A-n45-k7,NN,4,1,7955,1892.0832304866135,7,1146.0,7,0.03141593933105469,"[[0, 25, 42, 15, 14, 5, 31, 20, 38, 0], [0, 22, 26, 12, 39, 33, 0], [0, 24, 29, 23, 10, 32, 0], [0, 6, 4, 34, 21, 18, 7, 2, 8, 16, 40, 0], [0, 1, 37, 36, 27, 19, 0], [0, 28, 3, 44, 11, 43, 0], [0, 13, 35, 9, 17, 30, 41, 0]]"
A-n45-k7,NN,4,3,7955,1827.2864008288323,7,1146.0,7,0.06233549118041992,"[[0, 38, 17, 23, 15, 37, 1, 0], [0, 29, 31, 19, 30, 27, 0], [0, 16, 20, 8, 13, 35, 26, 4, 9, 0], [0, 22, 14, 24, 2, 39, 25, 40, 7, 42, 0], [0, 18, 10, 32, 5, 33, 6, 0], [0, 21, 34, 41, 43, 36, 11, 0], [0, 12, 3, 28, 44, 0]]"
A-n45-k7,NN,4,7,7955,1806.7806548562464,7,1146.0,7,0.11560440063476562,"[[0, 34, 4, 27, 29, 9, 0], [0, 3, 44, 36, 39, 2, 26, 0], [0, 13, 17, 19, 5, 31, 20, 16, 0], [0, 7, 18, 32, 22, 6, 28, 0], [0, 35, 40, 8, 23, 37, 42, 15, 38, 21, 0], [0, 41, 43, 11, 33, 30, 1, 0], [0, 25, 24, 14, 10, 12, 0]]"
A-n45-k7,NN,4,16,7955,1799.3076579500407,7,1146.0,7,0.21972370147705078,"[[0, 4, 3, 18, 12, 34, 0], [0, 35, 26, 42, 15, 17, 7, 0], [0, 32, 25, 23, 41, 43, 22, 0], [0, 6, 24, 44, 11, 28, 39, 8, 38, 16, 0], [0, 14, 31, 36, 37, 1, 9, 13, 40, 0], [0, 2, 27, 33, 21, 5, 30, 0], [0, 20, 10, 29, 19, 0]]"
A-n45-k7,NN,4,38,7955,1790.0213965393534,7,1146.0,7,0.4727649688720703,"[[0, 25, 15, 5, 22, 17, 16, 0], [0, 43, 3, 11, 14, 20, 40, 0], [0, 6, 9, 8, 1, 37, 36, 29, 41, 0], [0, 2, 21, 4, 31, 19, 30, 10, 38, 0], [0, 39, 34, 26, 35, 27, 23, 0], [0, 18, 32, 13, 33, 28, 0], [0, 12, 24, 42, 44, 7, 0]]"
A-n45-k7,NN,4,49,7955,1708.7492409831386,7,1146.0,7,0.5981988906860352,"[[0, 39, 18, 13, 35, 26, 34, 21, 0], [0, 7, 40, 8, 17, 15, 22, 42, 0], [0, 2, 4, 44, 43, 19, 0], [0, 14, 33, 30, 5, 28, 6, 0], [0, 12, 27, 36, 24, 32, 0], [0, 37, 9, 38, 31, 11, 41, 29, 3, 0], [0, 16, 20, 10, 23, 1, 25, 0]]"
A-n45-k7,NN,4,211,7955,1704.188977777269,7,1146.0,7,2.4801554679870605,"[[0, 21, 39, 13, 40, 7, 20, 16, 17, 35, 0], [0, 26, 34, 10, 42, 37, 12, 0], [0, 9, 22, 30, 1, 18, 0], [0, 11, 41, 27, 29, 5, 6, 0], [0, 38, 8, 43, 3, 28, 14, 4, 2, 0], [0, 32, 31, 33, 24, 36, 0], [0, 15, 25, 23, 19, 44, 0]]"
A-n45-k7,NN,4,637,7955,1657.2219000330033,7,1146.0,7,7.429246664047241,"[[0, 5, 33, 31, 11, 6, 2, 34, 0], [0, 39, 12, 36, 29, 3, 28, 0], [0, 24, 14, 44, 27, 41, 8, 38, 13, 0], [0, 32, 21, 9, 18, 40, 7, 20, 16, 0], [0, 4, 10, 15, 42, 25, 23, 0], [0, 35, 26, 37, 30, 22, 0], [0, 17, 43, 19, 1, 0]]"
